id,vraag_id,antwoord,juist
1,1,Actief luisteren,0
2,1,Parafraseren,0
3,1,Reflecteren,1
4,1,Summarizen,0
5,2,Intake,1
6,2,Diagnose,0
7,2,Planvorming,0
8,2,Evaluatie,0
9,3,Waar,1
10,3,Onwaar,0
11,4,Wet verplichte meldcode,1
12,4,Wet maatschappelijke ondersteuning,0
13,4,Jeugdwet,0
14,4,AVG,0
15,5,Verandering stimuleren,1
16,5,Advies geven,0
17,5,Probleemanalyse,0
18,5,Confronteren,0
19,6,Waar,1
20,6,Onwaar,0
21,7,Veiligheidsplanning,1
22,7,Gedragstherapie,0
23,7,Groepsgesprek,0
24,7,Psycho-educatie,0
25,8,Waar,1
26,8,Onwaar,0
27,9,Oordeelvrij,0
28,9,Empathisch,0
29,9,Authentiek,0
30,9,Al het genoemde,1
31,10,Waar,1
32,10,Onwaar,0
